IniId,EvtId,Fase,DataFase,Resultado,Detalhe,Favor,Contra,Abstencao
315841,13,Votação na generalidade,2025-12-19,Rejeitado,"A Favor: <I>CH</I>, <I> L</I>, <I> PCP</I>, <I> BE</I>, <I> PAN</I>, <I> JPP</I><BR>Contra:<I>PSD</I>, <I> IL</I>, <I> CDS-PP</I><BR>Abstenção:<I>PS</I>",,,
356073,73,Votação Deliberação,2026-02-27,Aprovado,"A Favor: <I>CH</I>, <I> PS</I>, <I> IL</I>, <I> L</I>, <I> BE</I>, <I> PAN</I>, <I> JPP</I><BR>Contra:<I>PSD</I>, <I> CDS-PP</I><BR>Abstenção:<I>PCP</I>",,,
315835,13,Votação na generalidade,2025-12-19,Rejeitado,"A Favor: <I>CH</I>, <I> L</I>, <I> PCP</I>, <I> BE</I>, <I> PAN</I>, <I> JPP</I><BR>Contra:<I>PSD</I>, <I> IL</I>, <I> CDS-PP</I><BR>Abstenção:<I>PS</I>",,,
346020,73,Votação Deliberação,2026-01-23,Aprovado,Ausência: <I>JPP</I>,,,
356101,73,Votação Deliberação,2026-06-25,Aprovado,,,,
315896,13,Votação na generalidade,2026-01-09,Rejeitado,"A Favor: <I>IL</I>, <I> L</I>, <I> PAN</I>, <I> JPP</I><BR>Contra:<I>PSD</I>, <I> CH</I>, <I> PS</I>, <I> PCP</I>, <I> CDS-PP</I>, <I> BE</I><BR>Abstenção:<I>1-PS</I>",,,
315846,13,Votação na generalidade,2025-12-19,Rejeitado,"A Favor: <I>L</I>, <I> PCP</I>, <I> BE</I>, <I> PAN</I>, <I> JPP</I><BR>Contra:<I>PSD</I>, <I> IL</I>, <I> CDS-PP</I><BR>Abstenção:<I>CH</I>, <I> PS</I>",,,
335939,73,Votação Deliberação,2026-01-30,Rejeitado,"A Favor: <I>CH</I>, <I> IL</I>, <I> BE</I>, <I> PAN</I>, <I> JPP</I><BR>Contra:<I>PSD</I>, <I> CDS-PP</I><BR>Abstenção:<I>PS</I>, <I> L</I>, <I> PCP</I>",,,
356068,13,Votação na generalidade,2026-03-20,Aprovado,,,,
345964,13,Votação na generalidade,2026-01-30,Rejeitado,"A Favor: <I>PS</I>, <I> L</I>, <I> PCP</I>, <I> BE</I>, <I> PAN</I>, <I> JPP</I><BR>Contra:<I>PSD</I>, <I> IL</I>, <I> CDS-PP</I><BR>Abstenção:<I>CH</I>",,,
356216,13,Votação na generalidade,2026-02-25,Aprovado,"A Favor: <I>CH</I>, <I> PS</I>, <I> IL</I>, <I> L</I>, <I> PCP</I>, <I> CDS-PP</I>, <I> BE</I>, <I> PAN</I>, <I> JPP</I><BR>Abstenção:<I>PSD</I>",,,
356216,18,Votação final global,2026-03-13,Aprovado,"A Favor: <I>CH</I>, <I> PS</I>, <I> IL</I>, <I> L</I>, <I> PCP</I>, <I> BE</I>, <I> PAN</I>, <I> JPP</I><BR>Contra:<I>PSD</I>, <I> CDS-PP</I>",,,
356069,13,Votação na generalidade,2026-02-27,Aprovado,"A Favor: <I>PSD</I>, <I> CH</I>, <I> IL</I>, <I> L</I>, <I> PCP</I>, <I> CDS-PP</I>, <I> BE</I>, <I> PAN</I>, <I> JPP</I><BR>Abstenção:<I>PS</I>",,,
356285,13,Votação na generalidade,2026-05-29,Aprovado,,,,
356285,18,Votação final global,2026-06-25,Aprovado,,,,
356344,13,Votação na generalidade,2026-05-08,Aprovado,"A Favor: <I>CH</I>, <I> PS</I>, <I> IL</I>, <I> L</I>, <I> PCP</I>, <I> BE</I>, <I> JPP</I><BR>Contra:<I>PSD</I>, <I> CDS-PP</I><BR>Abstenção:<I>PAN</I>",,,
356344,18,Votação final global,2026-07-03,Aprovado,"A Favor: <I>PSD</I>, <I> CH</I>, <I> PS</I>, <I> IL</I>, <I> L</I>, <I> PCP</I>, <I> CDS-PP</I>, <I> BE</I>, <I> JPP</I><BR>Abstenção:<I>PAN</I>",,,
315903,13,Votação na generalidade,2026-01-09,Rejeitado,"A Favor: <I>PS</I>, <I> L</I>, <I> PCP</I>, <I> BE</I>, <I> PAN</I>, <I> JPP</I><BR>Contra:<I>PSD</I>, <I> IL</I>, <I> CDS-PP</I><BR>Abstenção:<I>CH</I>",,,
315910,13,Votação na generalidade,2026-01-09,Rejeitado,"A Favor: <I>CH</I>, <I> PAN</I>, <I> JPP</I><BR>Contra:<I>PSD</I>, <I> PS</I>, <I> PCP</I>, <I> CDS-PP</I><BR>Abstenção:<I>IL</I>, <I> L</I>, <I> BE</I>",,,
356066,73,Votação Deliberação,2026-03-06,Rejeitado,"A Favor: <I>CH</I>, <I> IL</I>, <I> L</I>, <I> BE</I>, <I> PAN</I>, <I> JPP</I><BR>Contra:<I>PSD</I>, <I> CDS-PP</I><BR>Abstenção:<I>PS</I>, <I> PCP</I>",,,
325923,13,Votação na generalidade,2026-01-09,Rejeitado,"A Favor: <I>CH</I>, <I> L</I>, <I> BE</I>, <I> PAN</I>, <I> JPP</I><BR>Contra:<I>PSD</I>, <I> PS</I>, <I> PCP</I>, <I> CDS-PP</I><BR>Abstenção:<I>1-PS</I>, <I> IL</I>",,,
335959,73,Votação Deliberação,2026-02-13,Rejeitado,"A Favor: <I>PS</I>, <I> L</I>, <I> PCP</I>, <I> BE</I>, <I> PAN</I>, <I> JPP</I><BR>Contra:<I>PSD</I>, <I> CH</I>, <I> IL</I>, <I> CDS-PP</I>",,,
335959,73,Votação Deliberação,2026-02-13,Rejeitado,"A Favor: <I>PS</I>, <I> L</I>, <I> PCP</I>, <I> BE</I>, <I> PAN</I>, <I> JPP</I><BR>Contra:<I>PSD</I>, <I> CH</I>, <I> 1-PS</I>, <I> IL</I>, <I> CDS-PP</I>",,,
335959,73,Votação Deliberação,2026-02-13,Rejeitado,"A Favor: <I>PS</I>, <I> IL</I>, <I> L</I>, <I> PCP</I>, <I> BE</I>, <I> PAN</I>, <I> JPP</I><BR>Contra:<I>PSD</I>, <I> CDS-PP</I><BR>Abstenção:<I>CH</I>",,,
335959,73,Votação Deliberação,2026-02-13,Rejeitado,"A Favor: <I>PS</I>, <I> L</I>, <I> PCP</I>, <I> BE</I>, <I> PAN</I>, <I> JPP</I><BR>Contra:<I>PSD</I>, <I> CH</I>, <I> IL</I>, <I> CDS-PP</I>",,,
335959,73,Votação Deliberação,2026-02-13,Rejeitado,"A Favor: <I>PS</I>, <I> L</I>, <I> PCP</I>, <I> BE</I>, <I> PAN</I>, <I> JPP</I><BR>Contra:<I>PSD</I>, <I> CDS-PP</I><BR>Abstenção:<I>CH</I>, <I> IL</I>",,,
356359,13,Votação na generalidade,2026-05-14,Aprovado,"A Favor: <I>CH</I>, <I> PS</I>, <I> IL</I>, <I> CDS-PP</I>, <I> BE</I>, <I> PAN</I>, <I> JPP</I><BR>Abstenção:<I>PSD</I>, <I> L</I>, <I> PCP</I>",,,
356359,18,Votação final global,2026-06-25,Aprovado,,,,
346046,73,Votação Deliberação,2026-01-30,Aprovado,,,,
