IniId,IniLeg,IniNr,IniTipo,IniTitulo,Autor,DataInicioLegislatura,DataFimLegislatura,UltimaFase,DataUltimaFase,NumEventos,NumAnexos
367102,XVII,1178,Projeto de Resolução,Recomenda ao Governo que garanta a fiscalização independente e a transparência integral na execução do Instrumento SAFE e dos investimentos na Defesa Nacional,Grupos Parlamentares (G); BE; Fabian Figueiredo,2025-06-03,,Admissão,2026-08-03,4,0
315146,XVII,42,Projeto de Lei,Consagra o direito ao pagamento do subsídio de refeição no Código do Trabalho,Grupos Parlamentares (G); BE; Mariana Mortágua,2025-06-03,,Votação na generalidade,2025-09-26,8,1
315599,XVII,215,Projeto de Lei,"Estabelece medidas de incentivo ao radioamadorismo em Portugal, alterando o Decreto-Lei n.º 53/2009, de 2 de março",Grupos Parlamentares (G); CH; Ana Martins; André Ventura; Armando Grave; Bernardo Pessanha; Bruno Nunes; Carlos Barbosa; Catarina Salgueiro; Cláudia Estêvão; Cristina Rodrigues; Cristina Vieira Henriques; Daniel Teixeira; Diogo Pacheco de Amorim; Eduardo Teixeira; Eliseu Neves; Felicidade Vital; Filipe Melo; Francisco Gomes; Gabriel Mithá Ribeiro; Idalina Durães; João Lopes Aleixo; João Paulo Graça; João Ribeiro; João Tilly; Jorge Galveias; José Barreira Soares; José Carvalho; José Dias Fernandes; José Dotti; Lina Pinheiro; Luís Paulo Fernandes; Madalena Cordeiro; Manuel Magno; Manuela Tender; Marcus Santos; Maria José Aguiar; Marta Martins da Silva; Nuno Gabriel; Nuno Simões de Melo; Patrícia Almeida; Patrícia Carvalho; Patrícia Nascimento; Paulo Seco; Pedro Correia; Pedro dos Santos Frazão; Pedro Pessanha; Pedro Pinto; Pedro Tavares; Raul Melo; Ricardo Dias Pinto; Ricardo Lopes Reis; Ricardo Moreira; Rita Matias; Rodrigo Alves Taxa; Rui Afonso; Rui Cardoso; Rui Cristina; Rui Paulo Sousa; Sandra Ribeiro; Sónia Monteiro; Vanessa Barata,2025-06-03,,Lei (Publicação DR),2026-05-27,15,1
377111,XVII,1185,Projeto de Resolução,Pela valorização da inovação e da disponibilidade de soluções terapêuticas na medicina veterinária,Grupos Parlamentares (G); CH; Ana Martins; André Ventura; António Carneiro; Armando Grave; Bernardo Pessanha; Bruno Nunes; Carlos Barbosa; Catarina Salgueiro; Cláudia Estêvão; Cristina Rodrigues; Cristina Vieira Henriques; Daniel Teixeira; Diogo Pacheco de Amorim; Eduardo Teixeira; Eliseu Neves; Felicidade Vital; Filipe Melo; Francisco Gomes; Idalina Durães; João Lopes Aleixo; João Paulo Graça; João Ribeiro; João Tilly; Jorge Galveias; José Barreira Soares; José Carvalho; José Dias Fernandes; José Dotti; Lina Pinheiro; Luís Paulo Fernandes; Madalena Cordeiro; Manuel Magno; Manuela Tender; Marcus Santos; Maria José Aguiar; Marta Martins da Silva; Nuno Gabriel; Nuno Simões de Melo; Patrícia Almeida; Patrícia Carvalho; Patrícia Nascimento; Paulo Seco; Pedro Correia; Pedro dos Santos Frazão; Pedro Pessanha; Pedro Pinto; Pedro Tavares; Raul Melo; Ricardo Dias Pinto; Ricardo Lopes Reis; Ricardo Moreira; Rita Matias; Rodrigo Alves Taxa; Rui Afonso; Rui Cardoso; Rui Fernandes; Rui Paulo Sousa; Sandra Ribeiro; Sónia Monteiro; Vanessa Barata,2025-06-03,,Admissão,2026-08-03,4,0
377113,XVII,1187,Projeto de Resolução,Recomenda ao Governo que adote uma posição favorável à energia nuclear e avalie a viabilidade da utilização de pequenos reatores modulares em Portugal,Grupos Parlamentares (G); CH; Ana Martins; André Ventura; António Carneiro; Armando Grave; Bernardo Pessanha; Bruno Nunes; Carlos Barbosa; Catarina Salgueiro; Cláudia Estêvão; Cristina Rodrigues; Cristina Vieira Henriques; Daniel Teixeira; Diogo Pacheco de Amorim; Eduardo Teixeira; Eliseu Neves; Felicidade Vital; Filipe Melo; Francisco Gomes; Idalina Durães; João Lopes Aleixo; João Paulo Graça; João Ribeiro; João Tilly; Jorge Galveias; José Barreira Soares; José Carvalho; José Dias Fernandes; José Dotti; Lina Pinheiro; Luís Paulo Fernandes; Madalena Cordeiro; Manuel Magno; Manuela Tender; Marcus Santos; Maria José Aguiar; Marta Martins da Silva; Nuno Gabriel; Nuno Simões de Melo; Patrícia Almeida; Patrícia Carvalho; Patrícia Nascimento; Paulo Seco; Pedro Correia; Pedro dos Santos Frazão; Pedro Pessanha; Pedro Pinto; Pedro Tavares; Raul Melo; Ricardo Dias Pinto; Ricardo Lopes Reis; Ricardo Moreira; Rita Matias; Rodrigo Alves Taxa; Rui Afonso; Rui Cardoso; Rui Fernandes; Rui Paulo Sousa; Sandra Ribeiro; Sónia Monteiro; Vanessa Barata,2025-06-03,,Admissão,2026-08-03,4,0
357061,XVII,1150,Projeto de Resolução,"Recomenda ao Governo a adoção de medidas urgentes para justiça na carreira dos Técnicos Superiores a exercer funções nos estabelecimentos públicos de educação, integrados ao abrigo do PREVPAP ",Grupos Parlamentares (G); CH; Ana Martins; André Ventura; António Carneiro; Armando Grave; Bernardo Pessanha; Bruno Nunes; Carlos Barbosa; Catarina Salgueiro; Cláudia Estêvão; Cristina Rodrigues; Cristina Vieira Henriques; Daniel Teixeira; Diogo Pacheco de Amorim; Eduardo Teixeira; Eliseu Neves; Felicidade Vital; Filipe Melo; Francisco Gomes; Idalina Durães; João Lopes Aleixo; João Paulo Graça; João Ribeiro; João Tilly; Jorge Galveias; José Barreira Soares; José Carvalho; José Dias Fernandes; José Dotti; Lina Pinheiro; Luís Paulo Fernandes; Madalena Cordeiro; Manuel Magno; Manuela Tender; Marcus Santos; Maria José Aguiar; Marta Martins da Silva; Nuno Gabriel; Nuno Simões de Melo; Patrícia Almeida; Patrícia Carvalho; Patrícia Nascimento; Paulo Seco; Pedro Correia; Pedro dos Santos Frazão; Pedro Pessanha; Pedro Pinto; Pedro Tavares; Raul Melo; Ricardo Dias Pinto; Ricardo Lopes Reis; Ricardo Moreira; Rita Matias; Rodrigo Alves Taxa; Rui Afonso; Rui Cardoso; Rui Fernandes; Rui Paulo Sousa; Sandra Ribeiro; Sónia Monteiro; Vanessa Barata,2025-06-03,,Admissão,2026-07-16,4,0
315449,XVII,156,Projeto de Lei,"Prevê a possibilidade de permanência e circulação de animais de companhia nas praias, alterando o regime do ordenamento e gestão das praias marítimas",Grupos Parlamentares (G); PAN; Inês de Sousa Real,2025-06-03,,Parecer da ALRAA,2025-09-18,13,1
315650,XVII,240,Projeto de Lei,Elevação de Vila Cova de Alva à categoria de vila,Grupos Parlamentares (G); PS; Pedro Delgado Alves; Rosa Isabel Cruz; Pedro Coimbra; Jorge Botelho; Marina Gonçalves; Rui Jorge Santos,2025-06-03,,Lei (Publicação DR),2026-05-08,15,1
357072,XVII,1158,Projeto de Resolução,Recomenda ao Governo a criação de um Programa Especial de Apoio Urgente à Comunidade Portuguesa e Luso-venezuelana atingida pelos sismos de 24 de junho de 2026,Grupos Parlamentares (G); PS; José Luís Carneiro; Eurico Brilhante Dias; João Torres; Catarina Louro; Edite Estrela; Elza Pais; Eva Cruzeiro; Luís Dias; Pedro Delgado Alves; Rosa Isabel Cruz,2025-06-03,,Admissão,2026-07-16,4,0
315652,XVII,242,Projeto de Lei,Elevação de Semide à categoria de vila,Grupos Parlamentares (G); PS; Pedro Delgado Alves; Rosa Isabel Cruz; Pedro Coimbra; Jorge Botelho; Marina Gonçalves; Rui Jorge Santos,2025-06-03,,Lei (Publicação DR),2026-05-08,15,2
315060,XVII,10,Projeto de Lei,"Repõe o princípio do tratamento mais favorável do trabalhador (alteração ao Código do Trabalho, aprovado pela Lei n.º 7/2009, de 12 de fevereiro) 
",Grupos Parlamentares (G); PCP; Paulo Raimundo; Paula Santos; Alfredo Maia,2025-06-03,,Publicação em Separata,2025-07-08,6,1
315062,XVII,12,Projeto de Lei,"Reforça os direitos dos trabalhadores no regime de trabalho noturno e por turnos
",Grupos Parlamentares (G); PCP; Paulo Raimundo; Paula Santos; Alfredo Maia,2025-06-03,,Publicação em Separata,2025-07-08,6,1
357088,XVII,1166,Projeto de Resolução,Recomenda ao Governo a salvaguarda dos vínculos e das funções dos docentes especialistas e convidados no processo de criação da Universidade de Leiria e Oeste e a aprovação do regime legal próprio do ensino superior artístico,Grupos Parlamentares (G); BE; Fabian Figueiredo,2025-06-03,,Admissão,2026-08-03,4,0
315401,XVII,138,Projeto de Lei,"Estabelece a dedutibilidade, em sede de IRS, das despesas de transporte aéreo entre o continente e as regiões autónomas de estudantes deslocados",Grupos Parlamentares (G); PS; Sofia Canha; Francisco César,2025-06-03,,Anúncio,2025-09-10,12,1
357093,XVII,1171,Projeto de Resolução,Recomenda ao Governo a criação de um Museu Nacional dos Descobrimentos,Grupos Parlamentares (G); CDS-PP; Paulo Núncio; João Pinho de Almeida,2025-06-03,,Admissão,2026-08-03,4,0
315077,XVII,22,Projeto de Lei,"Controla e fixa os preços do “gás de botija” (gases de petróleo liquefeito engarrafado)
",Grupos Parlamentares (G); PCP; Paulo Raimundo; Paula Santos; Alfredo Maia,2025-06-03,,Discussão generalidade,2026-01-23,7,1
315656,XVII,246,Projeto de Lei,Elevação de Nogueira do Cravo à categoria de vila,Grupos Parlamentares (G); PS; Pedro Delgado Alves; Rosa Isabel Cruz; Pedro Coimbra; Jorge Botelho; Marina Gonçalves; Rui Jorge Santos,2025-06-03,,Lei (Publicação DR),2026-05-15,15,2
